iteration,score,best_score_so_far,Cl,Cd,max_camber,max_camber_loc,max_thickness,max_thickness_loc
1.000000,-0.115651,-0.115651,-0.824600,0.017622,0.000000,0.677210,0.220000,0.152890
2.000000,-0.063291,-0.063291,-0.826420,0.015713,0.000000,0.300000,0.172732,0.150000
3.000000,-0.043235,-0.043235,-0.872810,0.015721,0.004066,0.693994,0.173832,0.151775
4.000000,-0.017831,-0.017831,-1.183320,0.019804,0.053201,0.343131,0.170971,0.320730
5.000000,0.065103,0.065103,-1.176850,0.016629,0.037246,0.430663,0.171935,0.165714
6.000000,0.054668,0.065103,-1.345640,0.019746,0.062555,0.700000,0.170000,0.204693
7.000000,0.052715,0.065103,-1.191090,0.017318,0.035946,0.688884,0.192605,0.193126
8.000000,0.077120,0.077120,-1.278400,0.017827,0.049412,0.585446,0.173389,0.180609
9.000000,-0.034717,0.077120,-1.187640,0.020499,0.048254,0.688696,0.217828,0.228224
10.000000,-0.046210,0.077120,-0.898020,0.016239,0.009289,0.312009,0.201549,0.266638
11.000000,0.083186,0.083186,-1.253340,0.017197,0.048387,0.323802,0.170522,0.209634
12.000000,-0.102011,0.083186,-0.869720,0.017847,0.005212,0.315010,0.220000,0.150000
13.000000,-0.018698,0.083186,-1.272510,0.021279,0.055737,0.700000,0.220000,0.163305
14.000000,0.043556,0.083186,-1.368240,0.020523,0.065842,0.700000,0.171493,0.150000
15.000000,-0.043341,0.083186,-0.950140,0.016976,0.012449,0.533944,0.199244,0.150000
16.000000,0.070794,0.083186,-1.231350,0.017300,0.044857,0.439118,0.175007,0.203527
17.000000,0.071656,0.083186,-1.261570,0.017757,0.050965,0.468023,0.170000,0.230693
18.000000,0.087207,0.087207,-1.324230,0.018195,0.056818,0.307826,0.173751,0.150000
19.000000,0.087891,0.087891,-1.294890,0.017695,0.053035,0.300000,0.171134,0.153244
20.000000,-0.014461,0.087891,-0.930000,0.015581,0.012943,0.316170,0.170000,0.282120
21.000000,-0.046646,0.087891,-1.050810,0.018727,0.034989,0.672018,0.170578,0.350000
22.000000,0.060406,0.087891,-1.241390,0.017847,0.047710,0.323507,0.183978,0.168398
23.000000,0.038910,0.087891,-1.119940,0.016678,0.032091,0.329017,0.177565,0.150000
24.000000,-0.473129,0.087891,-1.276550,0.038168,0.096788,0.700000,0.174050,0.346786
25.000000,0.062522,0.087891,-1.195670,0.017029,0.042079,0.300000,0.177825,0.218083
26.000000,-0.046708,0.087891,-0.945340,0.017023,0.014498,0.419372,0.215511,0.250017
27.000000,0.094935,0.094935,-1.361200,0.018507,0.062125,0.300000,0.170784,0.150000
28.000000,0.034356,0.094935,-1.317640,0.020045,0.057481,0.695264,0.191422,0.150000
29.000000,-0.283276,0.094935,-0.751680,0.022648,0.014677,0.360628,0.219900,0.347917
30.000000,-0.079081,0.094935,-1.023750,0.019490,0.035562,0.459015,0.170000,0.348081
31.000000,-0.009777,0.094935,-1.235500,0.020350,0.050340,0.325065,0.217557,0.150000
32.000000,-0.022337,0.094935,-1.149150,0.019418,0.039076,0.514930,0.218703,0.166776
33.000000,0.077003,0.094935,-1.209150,0.016711,0.037460,0.700000,0.170000,0.220090
34.000000,-0.086401,0.094935,-0.819400,0.016455,0.000178,0.600792,0.220000,0.227322
35.000000,0.046159,0.094935,-1.248780,0.018494,0.049349,0.700000,0.178415,0.248630
36.000000,0.076565,0.094935,-1.234110,0.017131,0.040683,0.623100,0.170000,0.150000
37.000000,-0.019788,0.094935,-1.097930,0.018495,0.033260,0.300000,0.216246,0.210581
38.000000,0.073679,0.094935,-1.375420,0.019524,0.068103,0.340906,0.170000,0.219379
39.000000,0.081798,0.094935,-1.261660,0.017383,0.043788,0.668666,0.176205,0.177542
40.000000,-0.097282,0.094935,-0.796230,0.016483,0.001707,0.660783,0.187412,0.345642
41.000000,0.012861,0.094935,-1.198790,0.018918,0.042670,0.700000,0.211928,0.204512
42.000000,-0.810362,0.094935,-1.172410,0.048968,0.101432,0.369135,0.170000,0.350000
43.000000,-0.064453,0.094935,-0.834640,0.015889,0.004756,0.678575,0.170000,0.350000
44.000000,-0.021388,0.094935,-0.981400,0.016669,0.020842,0.316229,0.180012,0.305456
45.000000,0.027090,0.094935,-1.167500,0.017885,0.038580,0.300000,0.195854,0.150000
46.000000,0.062147,0.094935,-1.288950,0.018552,0.057765,0.315276,0.170013,0.270031
47.000000,-0.139885,0.094935,-0.979180,0.021020,0.034314,0.674004,0.187609,0.350000
48.000000,-0.394365,0.094935,-1.362590,0.036644,0.101766,0.680266,0.220000,0.186025
49.000000,0.043455,0.094935,-1.136830,0.016783,0.030663,0.604961,0.183910,0.167185
50.000000,-0.055395,0.094935,-1.521330,0.026663,0.101347,0.318434,0.172125,0.159614
51.000000,-0.139118,0.094935,-0.824800,0.018494,0.009278,0.679071,0.217969,0.311630
52.000000,0.002766,0.094935,-1.079570,0.017363,0.029539,0.400290,0.200073,0.248946
53.000000,-0.059884,0.094935,-0.826550,0.015589,0.000000,0.515666,0.170000,0.150000
54.000000,0.053349,0.094935,-1.351090,0.019883,0.065168,0.472577,0.173462,0.161887
55.000000,0.081820,0.094935,-1.231980,0.016902,0.042630,0.600063,0.170000,0.221259
56.000000,-0.630713,0.094935,-1.065590,0.040589,0.078255,0.700000,0.217146,0.347420
57.000000,0.094634,0.094935,-1.381650,0.018849,0.064755,0.351412,0.170000,0.159067
58.000000,-0.115792,0.094935,-1.307400,0.025438,0.074273,0.300000,0.220000,0.160076
59.000000,-0.065697,0.094935,-0.853240,0.016236,0.003313,0.330056,0.209574,0.202048
60.000000,-0.161555,0.094935,-0.742550,0.017994,0.000337,0.408748,0.208940,0.346861
61.000000,0.093437,0.094935,-1.337930,0.018186,0.059983,0.300000,0.170000,0.168453
62.000000,-0.057947,0.094935,-0.835990,0.015670,0.005013,0.361243,0.170000,0.342019
63.000000,0.054602,0.094935,-1.303270,0.019063,0.059871,0.306114,0.176836,0.249492
64.000000,-0.057649,0.094935,-0.901080,0.016712,0.010355,0.300000,0.214703,0.271122
65.000000,0.085509,0.094935,-1.271450,0.017404,0.044697,0.678822,0.173942,0.173703
66.000000,-0.025702,0.094935,-1.289180,0.021808,0.062388,0.676151,0.198864,0.216385
67.000000,-0.016546,0.094935,-1.081180,0.018104,0.025443,0.641049,0.213843,0.150183
68.000000,0.073478,0.094935,-1.200590,0.016703,0.036109,0.666503,0.174027,0.171066
69.000000,-0.012218,0.094935,-1.246790,0.020623,0.056812,0.687104,0.172185,0.280387
70.000000,-0.039233,0.094935,-1.276760,0.022108,0.061940,0.501072,0.202569,0.157046
71.000000,-0.082285,0.094935,-0.842170,0.016671,0.003823,0.700000,0.205405,0.278067
72.000000,0.018917,0.094935,-1.253630,0.019581,0.054100,0.602716,0.185970,0.221421
73.000000,0.068814,0.094935,-1.211860,0.017058,0.044485,0.364715,0.170642,0.258807
74.000000,-0.085312,0.094935,-0.837840,0.016713,0.000956,0.682771,0.201216,0.153632
75.000000,-0.127609,0.094935,-0.967590,0.020378,0.032021,0.330120,0.198923,0.332016
76.000000,-0.060882,0.094935,-1.374580,0.024492,0.079856,0.300000,0.206700,0.150000
77.000000,-0.051632,0.094935,-0.860640,0.015835,0.004833,0.651136,0.179090,0.274976
78.000000,0.070195,0.094935,-1.232390,0.017339,0.044595,0.384004,0.173930,0.150000
79.000000,-0.052156,0.094935,-0.841330,0.015542,0.001739,0.430903,0.195175,0.202739
80.000000,0.041368,0.094935,-1.131500,0.016774,0.037818,0.300453,0.170000,0.304726
81.000000,-0.245615,0.094935,-1.297620,0.030086,0.081323,0.582135,0.214394,0.160317
82.000000,0.024178,0.094935,-1.017370,0.015564,0.019064,0.592904,0.170000,0.212250
83.000000,-0.206929,0.094935,-0.719320,0.019298,0.002532,0.699312,0.218877,0.342895
84.000000,0.069295,0.094935,-1.296530,0.018410,0.052418,0.639798,0.176170,0.172152
85.000000,0.069308,0.094935,-1.266890,0.017930,0.044149,0.700000,0.185261,0.160462
86.000000,-0.085555,0.094935,-0.821830,0.016463,0.000000,0.700000,0.217335,0.201649
87.000000,0.006835,0.094935,-1.154960,0.018432,0.036544,0.547404,0.208727,0.173999
88.000000,-0.055654,0.094935,-0.927960,0.017073,0.012635,0.345977,0.219574,0.240257
89.000000,0.078664,0.094935,-1.275010,0.017715,0.049472,0.422135,0.172647,0.150000
90.000000,0.052896,0.094935,-1.339420,0.019711,0.061773,0.663759,0.171578,0.183660
91.000000,-0.102822,0.094935,-0.838010,0.017364,0.005205,0.434118,0.217401,0.285024
92.000000,-0.063702,0.094935,-0.941870,0.017596,0.012426,0.475702,0.220000,0.163031
93.000000,0.086534,0.094935,-1.296420,0.017770,0.047938,0.668142,0.170000,0.150000
94.000000,0.090649,0.094935,-1.276970,0.017303,0.043995,0.700000,0.170000,0.159117
95.000000,-0.027392,0.094935,-1.314550,0.022281,0.067931,0.314149,0.201361,0.199311
96.000000,0.040760,0.094935,-1.360790,0.020506,0.068090,0.504079,0.170000,0.150000
97.000000,-0.534468,0.094935,-1.408900,0.042580,0.122606,0.700000,0.211087,0.154924
98.000000,-0.006007,0.094935,-1.080140,0.017697,0.033008,0.700000,0.172936,0.321968
99.000000,0.031844,0.094935,-1.167560,0.017710,0.039308,0.300000,0.195095,0.203347
100.000000,-0.027989,0.094935,-1.023410,0.017593,0.021626,0.356786,0.207781,0.150292
101.000000,-0.062165,0.094935,-0.882340,0.016576,0.010206,0.670302,0.182014,0.344593
102.000000,-0.013495,0.094935,-1.126300,0.018721,0.032905,0.606761,0.219880,0.166837
103.000000,0.083733,0.094935,-1.253480,0.017179,0.041961,0.680512,0.174205,0.170839
104.000000,-0.027484,0.094935,-0.911450,0.015763,0.008958,0.585024,0.197687,0.237113
105.000000,-0.335755,0.094935,-1.391260,0.034938,0.102573,0.325759,0.170000,0.253135
106.000000,-0.022899,0.094935,-1.445550,0.024234,0.087771,0.336640,0.182348,0.161456
107.000000,0.081219,0.094935,-1.265900,0.017473,0.043759,0.677442,0.174773,0.159681
108.000000,-0.080547,0.094935,-1.053280,0.020022,0.040884,0.377450,0.174484,0.350000
