iteration,cl,cd,score
0,,,-1
1,-0.44915,0.013291,0.41362765683132574
2,,,-1
3,-0.37876,0.015401,0.3488046561314326
4,-0.4272,0.012205,0.3934136368659521
5,-0.4301,0.013554,0.3960842818727668
0,,,-1
1,-0.44915,0.013291,0.41362765683132574
2,,,-1
3,-0.37876,0.015401,0.3488046561314326
4,-0.4272,0.012205,0.3934136368659521
5,-0.4301,0.013553,0.3960842818727668
6,,,-1
7,0.02051,0.045841,-0.018887906582679487
8,,,-1
9,-0.20069,0.016111,0.18481784359229383
10,,,-1
11,0.00738,0.013336,-0.00679633108630788
12,-0.3767,0.015172,0.34690757726452276
13,0.37288,0.016278,-0.34338969315209783
14,-0.17396,0.016252,0.16020186392603236
15,0.46239,0.017157,-0.4258205326555421
16,0.01409,0.044267,-0.01297565108483442
17,0.56173,0.018255,-0.5173039378200169
18,-0.41621,0.013177,0.3832928132021955
19,-0.16209,0.014389,0.1492706376395182
20,-0.41637,0.013173,0.38344015913360596
21,-0.05268,0.01491,0.04851364791689689
22,-0.41283,0.013607,0.3801801304011493
23,-0.18002,0.013721,0.16578259107820387
24,,,-1
0,,,-1
1,-0.44961,0.013335,0.41405127638413086
2,,,-1
3,,,-1
4,-0.26267,0.014473,0.24189597377242422
5,-0.42653,0.014974,0.39279662577817076
6,-0.4554,0.013744,0.41938335727704723
7,-0.42318,0.012209,0.389711570339264
8,-0.43749,0.012818,0.40288982207978785
9,-0.46642,0.013805,0.42953180830294324
10,-0.3928,0.014763,0.3617342616127012
11,0.08771,0.014412,-0.08077319777507644
12,0.00047,0.018871,-0.00043282867351825246
13,,,-1
14,-0.4248,0.01404,0.39120344789479505
15,,,-1
16,-0.40951,0.01501,0.37712270232438205
17,,,-1
18,-0.28617,0.013098,0.2635374074483368
19,-0.42485,0.014226,0.3912494934983608
20,,,-1
21,-0.16037,0.015006,0.14768666887685566
22,-0.45486,0.013538,0.41888606475853685
23,,,-1
24,-0.40772,0.014267,0.3754742697167275
0,,,-1
1,-0.44961,0.013335,0.41405127638413086
2,,,-1
3,-0.42416,0.013783,0.3906140641691531
4,,,-1
5,-0.23427,0.022098,0.215742070947066
6,-0.45612,0.013755,0.4200464139683943
7,0.15421,0.014244,-0.1420138505175526
8,,,-1
9,-0.44816,0.013004,0.41271595388072346
10,-0.33062,0.014888,0.30447194901830776
11,-0.42278,0.012044,0.38934320551073787
12,,,-1
13,-0.3184,0.014849,0.2932184035068332
14,-0.04848,0.046331,0.04464581721737209
15,,,-1
16,-0.46642,0.013805,0.42953180830294324
17,-0.40432,0.015807,0.372343168674255
18,,,-1
19,-0.43701,0.012182,0.40244778428555644
20,-0.45994,0.013354,0.4235642980808193
21,-0.09207,0.01254,0.08478837440601171
22,,,-1
23,-0.06269,0.014582,0.05773197775076436
24,-0.37575,0.015299,0.3460327107967731
0,,,-1
1,-0.4496,0.013335,0.4140420672634177
2,,,-1
3,-0.42416,0.013783,0.3906140641691531
4,-0.36867,0.014888,0.33951265333185987
5,,,-1
6,-0.36528,0.014845,0.33639076141010055
7,-0.42602,0.012106,0.39232696062179984
8,-0.42701,0.014049,0.3932386635724021
9,-0.46642,0.013805,0.42953180830294324
10,0.21173,0.015678,-0.19498471285961616
11,-0.37575,0.015299,0.3460327107967731
12,-0.06111,0.017344,0.056276936678085976
13,-0.45464,0.013735,0.41868346410284746
14,-0.43127,0.012847,0.3971617489962058
15,,,-1
16,-0.07281,0.018383,0.06705160791247652
17,,,-1
18,,,-1
0,,,-1
1,-0.44961,0.013334,0.41405127638413086
2,,,-1
3,-0.42416,0.013783,0.3906140641691531
4,-0.41912,0.015311,0.38597266732972335
5,,,-1
6,-0.43265,0.013656,0.39843260765462113
7,-0.46642,0.013805,0.42953180830294324
8,-0.45832,0.01378,0.42207242052528826
9,-0.41756,0.015862,0.3845360444984713
10,-0.41902,0.012175,0.38588057612259186
11,,,-1
12,-0.16945,0.016,0.15604855048439975
0,,,-1
1,-0.44961,0.013335,0.41405127638413086
0,,,-1
1,-0.44961,0.013334,0.41405127638413086
2,,,-1
3,-0.41303,0.014737,0.3803643128154124
