iteration,cl,cd,score
0,-0.04726,0.015758,-0.31211050394199696
1,-0.20896,0.016742,-0.24689578799020157
2,,,-1
0,,,-1
1,,,-1
2,,,-1
0,-0.57817,0.018836,-0.0947205730919986
1,,,-1
0,-0.57817,0.018836,-0.0947205730919986
1,,,-1
2,0.11531,0.01425,-10
0,-0.57817,0.018836,-0.0947205730919986
1,,,-1
2,0.11531,0.01425,-10
0,-0.57817,0.018836,-0.0947205730919986
1,,,-1
2,0.11531,0.01425,-10
0,-0.5499,0.013766,-0.0012726035354713727
1,,,-1
2,,,-1
0,,,-1
1,,,-1
2,,,-1
0,,,-1
1,-1.5878,0.020566,0.4069582323546499
2,,,-1
