iter,cl,cd,score,max_camber,max_camber_loc,max_thickness,max_thickness_loc,converged
0,,,-1,0.1,0.7,0.2,0.4,False
1,-2.65645,0.029435,0.9651360080801916,0.01,0.4192174551790464,0.2,0.2596330651058272,True
2,-2.55789,0.0268,0.9293273894514262,0.01,0.6651439019893748,0.06,0.15,True
3,-2.64831,0.029216,0.9621785998452266,0.01,0.6349754382709747,0.15895489147290703,0.15,True
4,-2.6359,0.027748,0.9576698238997824,0.01,0.5737904162905216,0.14509925789450479,0.33692140485049604,True
5,-2.96556,0.029344,1.0774412242362148,0.07293765358480081,0.6466577982362435,0.07330568670579732,0.15957486803406365,True
6,,,-1,0.07142903746444473,0.3,0.2,0.15,False
7,-2.76142,0.027826,1.0032734948645008,0.041888801742039544,0.4090829251816466,0.06,0.2118526026023004,True
8,-2.5849,0.027512,0.9391406076856283,0.01,0.3,0.09262171079839687,0.15,True
9,,,-1,0.0397964197545391,0.5795978187012409,0.08889499366790962,0.15,False
10,,,-1,0.08734607807614314,0.4517932296068736,0.18930157061161976,0.27807871110871674,False
11,-2.74175,0.028337,0.9961270304932769,0.024713530346606477,0.6447221638140999,0.13647011086277955,0.28952115842003456,True
12,,,-1,0.09014818257809969,0.6479591880300959,0.1755831769698993,0.3919909967496993,False
13,,,-1,0.012465813486732558,0.6365910683473756,0.16551499923781807,0.15402893498397513,False
14,-2.67916,0.027465,0.973386959064965,0.02117407530859281,0.4759197070994927,0.11212103909311477,0.3827659555135423,True
15,,,-1,0.024546902681381638,0.6435852455586765,0.14321143169168596,0.2891351921715506,False
