evaluation,max_camber,max_camber_loc,max_thickness,max_thickness_loc,cl,cd,score,valid
1,0.029963209507789,0.6802857225639665,0.2102596667996273,0.23979877262955548,,,-1,False
2,0.012481491235394921,0.362397808134481,0.173194598669251,0.2799264218662403,-0.66328,0.012444,-0.07962128528839779,True
3,0.048089200939456705,0.5832290311184182,0.17113214718626915,0.29548647782429915,,,-1,False
4,0.06659541126403375,0.38493564427131044,0.18000037319639053,0.17751067647801508,,,-1,False
5,0.02433937943676302,0.5099025726528951,0.19375697602531639,0.1936843710297063,,,-1,False
6,0.04894823157779036,0.3557975442608167,0.186067955669437,0.20495427649405373,,,-1,False
7,0.03648559873736287,0.6140703845572054,0.18098205801870978,0.22713516576204174,,,-1,False
8,0.0473931655089634,0.3185801650879991,0.2034149668545791,0.17557861855309373,,,-1,False
9,0.0052041274388223615,0.6795542149013333,0.22310976181910078,0.27125960221746914,-0.59362,0.014002,-0.1641218644341217,True
10,0.024369101533869654,0.3390688456025535,0.20763281645816864,0.21602287406094017,,,-1,False
11,0.009763058787582306,0.498070764044508,0.17189136866133703,0.2863980603118173,-0.64076,0.012607,-0.09589637168265241,True
12,0.020702398528001355,0.5650089137415928,0.1871441091849176,0.22801020317667162,,,-1,False
13,0.012481491235394921,0.362397808134481,0.1725132691302634,0.29564265429813297,-0.66347,0.012367,-0.07703268737385083,True
14,0.04894823157779036,0.34936055795045956,0.18762050274602846,0.20495427649405373,,,-1,False
15,0.02983929215221655,0.6954957264374648,0.20934478858249772,0.2838262343171551,,,-1,False
16,0.01795384197194629,0.362397808134481,0.173194598669251,0.17435918862486827,-0.72876,0.012651,-0.054371239573052454,True
17,0.047761677527741596,0.498070764044508,0.17399864376918037,0.2863980603118173,,,-1,False
18,0.020702398528001355,0.5714637264583634,0.18267385408588302,0.22978100750805835,,,-1,False
19,0.048089200939456705,0.5622865875526153,0.17113214718626915,0.2895990892903757,-1.01793,0.014516,0.026316112430026628,True
20,0.03648559873736287,0.6185718011427563,0.18098205801870978,0.22713516576204174,-0.94096,0.013751,0.013544885025715825,True
21,0.009886982369666071,0.4245977127918159,0.17294012741402376,0.23140036398435399,,,-1,False
22,0.06659541126403375,0.38493564427131044,0.18000037319639053,0.28304945338511955,,,-1,False
23,0.009395836616453459,0.3185801650879991,0.2034149668545791,0.17838079403314944,,,-1,False
24,0.008767586049331656,0.5097610820196892,0.19375697602531639,0.1919135667064933,,,-1,False
