x y
0.96524497 0.08186006
0.96174498 0.08134111
0.95806658 0.08077671
0.95420995 0.08018196
0.95017320 0.07959748
0.94595065 0.07910929
0.94153977 0.07876721
0.93694657 0.07852054
0.93219995 0.07804818
0.92731703 0.07716910
0.92228252 0.07608769
0.91707141 0.07512395
0.91166437 0.07453168
0.90608088 0.07410516
0.90034341 0.07360395
0.89446730 0.07287315
0.88846419 0.07180202
0.88230618 0.07074965
0.87596377 0.07009470
0.86944645 0.06975405
0.86279181 0.06931251
0.85600650 0.06872237
0.84908820 0.06804256
0.84202620 0.06743225
0.83482411 0.06688183
0.82749830 0.06623067
0.82006250 0.06535019
0.81249953 0.06447868
0.80479850 0.06378071
0.79697319 0.06312881
0.78903237 0.06245541
0.78095768 0.06201520
0.77273441 0.06202018
0.76438693 0.06221939
0.75597689 0.06192061
0.74750865 0.06111129
0.73894442 0.06027873
0.73024839 0.05988751
0.72143749 0.05977740
0.71256221 0.05939052
0.70361925 0.05880735
0.69456572 0.05857782
0.68538927 0.05889038
0.67614872 0.05909004
0.66690326 0.05851799
0.65760173 0.05782356
0.64817906 0.05782146
0.63867835 0.05804435
0.62912400 0.05824702
0.61957630 0.05775875
0.61000075 0.05703280
0.60032336 0.05699117
0.59056361 0.05744745
0.58080286 0.05748222
0.57100783 0.05753533
0.56115744 0.05790177
0.55129973 0.05805764
0.54141092 0.05833026
0.53152152 0.05840363
0.52162269 0.05842847
0.51172268 0.05835257
0.50183391 0.05807466
0.49188193 0.05852306
0.48194439 0.05882323
0.47204575 0.05873119
0.46214725 0.05875199
0.45225671 0.05883903
0.44240214 0.05870573
0.43259400 0.05827394
0.42277780 0.05823517
0.41300273 0.05805156
0.40325574 0.05792333
0.39358851 0.05728285
0.38395043 0.05677513
0.37439095 0.05585884
0.36484194 0.05538609
0.35534898 0.05486095
0.34595323 0.05383962
0.33659967 0.05301831
0.32727257 0.05262696
0.31802250 0.05210959
0.30886465 0.05132899
0.29978135 0.05053726
0.29077035 0.04980361
0.28183347 0.04914829
0.27297388 0.04857554
0.26419467 0.04808963
0.25549615 0.04772799
0.24689416 0.04734309
0.23841546 0.04665769
0.23005218 0.04580472
0.22175895 0.04536086
0.21354928 0.04520457
0.20543919 0.04518402
0.19747473 0.04479083
0.18965287 0.04409796
0.18193592 0.04358870
0.17432644 0.04326857
0.16683259 0.04307621
0.15946563 0.04291284
0.15223375 0.04271553
0.14513480 0.04254332
0.13816442 0.04248090
0.13132521 0.04252958
0.12462554 0.04262191
0.11807041 0.04272943
0.11166558 0.04281436
0.10543150 0.04266367
0.09937755 0.04219531
0.09349910 0.04149220
0.08777134 0.04087593
0.08219919 0.04031503
0.07678822 0.03976930
0.07152165 0.03946307
0.06639148 0.03951551
0.06144494 0.03939062
0.05669033 0.03901295
0.05212325 0.03845661
0.04773610 0.03783336
0.04354279 0.03699848
0.03955839 0.03579338
0.03576799 0.03441355
0.03218147 0.03276005
0.02876520 0.03124862
0.02548375 0.03031581
0.02239992 0.02923273
0.01952843 0.02783943
0.01684875 0.02639323
0.01434282 0.02512109
0.01199659 0.02420171
0.00983055 0.02340351
0.00789047 0.02219414
0.00617832 0.02055971
0.00467220 0.01876842
0.00336043 0.01696631
0.00220947 0.01555788
0.00126930 0.01395647
0.00070137 0.01025308
0.00039306 0.00578705
0.00016914 0.00263858
0.00003994 0.00068758
0.00000000 0.00000000
0.00015600 -0.00068821
0.00060068 -0.00247694
0.00131220 -0.00510843
0.00228769 -0.00855121
0.00350789 -0.01257997
0.00485605 -0.01581492
0.00630695 -0.01796195
0.00793574 -0.01991793
0.00979317 -0.02229105
0.01186026 -0.02486405
0.01411874 -0.02742910
0.01656354 -0.02993529
0.01917831 -0.03219914
0.02196676 -0.03427609
0.02496119 -0.03656095
0.02817233 -0.03919390
0.03158739 -0.04203726
0.03519383 -0.04495680
0.03897610 -0.04778407
0.04292101 -0.05037891
0.04707335 -0.05328958
0.05144176 -0.05663653
0.05598547 -0.05995546
0.06069662 -0.06317276
0.06557463 -0.06630228
0.07060614 -0.06920699
0.07579329 -0.07193436
0.08114615 -0.07462661
0.08665865 -0.07723565
0.09231679 -0.07961988
0.09812169 -0.08181793
0.10409899 -0.08415979
0.11026195 -0.08682925
0.11658591 -0.08956159
0.12306019 -0.09225824
0.12969160 -0.09502909
0.13646013 -0.09766630
0.14334090 -0.09990540
0.15033643 -0.10180712
0.15746148 -0.10357812
0.16471876 -0.10528279
0.17210733 -0.10694291
0.17963053 -0.10863163
0.18728342 -0.11032451
0.19505170 -0.11188680
0.20293058 -0.11329705
0.21092631 -0.11466533
0.21904421 -0.11609098
0.22728468 -0.11761603
0.23559338 -0.11863370
0.24395772 -0.11903271
0.25243197 -0.11949519
0.26102940 -0.12021726
0.26971975 -0.12087972
0.27844288 -0.12080979
0.28723711 -0.12050206
0.29611004 -0.12008734
0.30505498 -0.11952760
0.31406740 -0.11881077
0.32315256 -0.11804106
0.33230532 -0.11720021
0.34149786 -0.11600079
0.35074795 -0.11469659
0.36009271 -0.11377094
0.36950464 -0.11294146
0.37891566 -0.11144503
0.38838770 -0.11005984
0.39793127 -0.10895486
0.40747288 -0.10730361
0.41706317 -0.10575112
0.42663277 -0.10352000
0.43625022 -0.10146803
0.44588657 -0.09929723
0.45556741 -0.09735645
0.46522150 -0.09484667
0.47489173 -0.09232206
0.48457997 -0.08985048
0.49426324 -0.08720542
0.50391276 -0.08409136
0.51360161 -0.08142065
0.52330976 -0.07900163
0.53297400 -0.07613091
0.54263467 -0.07333255
0.55225746 -0.07024561
0.56186263 -0.06715594
0.57143941 -0.06398153
0.58099115 -0.06080780
0.59053409 -0.05787256
0.60000478 -0.05446895
0.60945775 -0.05128872
0.61893262 -0.04884633
0.62835455 -0.04629940
0.63766670 -0.04301884
0.64691728 -0.03962053
0.65612850 -0.03641184
0.66532712 -0.03375383
0.67446991 -0.03117767
0.68347986 -0.02781389
0.69240226 -0.02424224
0.70128639 -0.02108959
0.71012958 -0.01836672
0.71888094 -0.01551222
0.72752117 -0.01233906
0.73608936 -0.00935183
0.74460204 -0.00678711
0.75303463 -0.00439418
0.76132298 -0.00145233
0.76946703 0.00199943
0.77752072 0.00528287
0.78549387 0.00824281
0.79338530 0.01085539
0.80116557 0.01343189
0.80882954 0.01599646
0.81638861 0.01837716
0.82383107 0.02067725
0.83113607 0.02310831
0.83829989 0.02567968
0.84533580 0.02820003
0.85224738 0.03059326
0.85902189 0.03297759
0.86564705 0.03546635
0.87212010 0.03806041
0.87846476 0.04044772
0.88469995 0.04237370
0.89080320 0.04407527
0.89673690 0.04596912
0.90249504 0.04809833
0.90809098 0.05027729
0.91353411 0.05236763
0.91884613 0.05408633
0.92402082 0.05548173
0.92902794 0.05688780
0.93384730 0.05852037
0.93847480 0.06040479
0.94292550 0.06234067
0.94722144 0.06404523
0.95135958 0.06553396
0.95533010 0.06690370
0.95912749 0.06820059
0.96274772 0.06945458
0.96618885 0.07067127
