x y
0.96522846 0.08208547
0.96175908 0.08122407
0.95812049 0.08021300
0.95431705 0.07901910
0.95034613 0.07768996
0.94620100 0.07632072
0.94187655 0.07498874
0.93737527 0.07368571
0.93270168 0.07238020
0.92785743 0.07107488
0.92284610 0.06975091
0.91766975 0.06840776
0.91231698 0.06719916
0.90678955 0.06612958
0.90110948 0.06497218
0.89528070 0.06370790
0.88930673 0.06232293
0.88319735 0.06073263
0.87695359 0.05895312
0.87055917 0.05719919
0.86399575 0.05570983
0.85727489 0.05438273
0.85043146 0.05284960
0.84346037 0.05119971
0.83632298 0.04990685
0.82904040 0.04876202
0.82164646 0.04741113
0.81410767 0.04627084
0.80643127 0.04529245
0.79867697 0.04382757
0.79083332 0.04204252
0.78281465 0.04095281
0.77466770 0.04006002
0.76642744 0.03900095
0.75808389 0.03792697
0.74965178 0.03670722
0.74112564 0.03544241
0.73249098 0.03433693
0.72377024 0.03317299
0.71497275 0.03188330
0.70606013 0.03094665
0.69704050 0.03031025
0.68796110 0.02947442
0.67884842 0.02817693
0.66964835 0.02707796
0.66036030 0.02622573
0.65099070 0.02558847
0.64156096 0.02496338
0.63208604 0.02422181
0.62256336 0.02343576
0.61299673 0.02260450
0.60337631 0.02188370
0.59369188 0.02143335
0.58398720 0.02079634
0.57427976 0.01981642
0.56454686 0.01879674
0.55476230 0.01808097
0.54491631 0.01782476
0.53503821 0.01773670
0.52513193 0.01781618
0.51525102 0.01749479
0.50538645 0.01692018
0.49549941 0.01658043
0.48560250 0.01637561
0.47573041 0.01595336
0.46581417 0.01614679
0.45590579 0.01640513
0.44604822 0.01628132
0.43622573 0.01599929
0.42644474 0.01552971
0.41668261 0.01517529
0.40687974 0.01566141
0.39710268 0.01627049
0.38741957 0.01626664
0.37779025 0.01615239
0.36819936 0.01614653
0.35864133 0.01635550
0.34913765 0.01657611
0.33968892 0.01684400
0.33026819 0.01750928
0.32090826 0.01823863
0.31165024 0.01860354
0.30246818 0.01894181
0.29337560 0.01913984
0.28436534 0.01931993
0.27538144 0.02016225
0.26648439 0.02101490
0.25769296 0.02170241
0.24899428 0.02241109
0.24039881 0.02305980
0.23195311 0.02315406
0.22358711 0.02353316
0.21529869 0.02425849
0.20713406 0.02483811
0.19908969 0.02534878
0.19113704 0.02615263
0.18328090 0.02722998
0.17557019 0.02805600
0.16801629 0.02853471
0.16061511 0.02874627
0.15335342 0.02887518
0.14620326 0.02927339
0.13917150 0.02989425
0.13228102 0.03050721
0.12552643 0.03120439
0.11893793 0.03167019
0.11251922 0.03189174
0.10621701 0.03250696
0.10004745 0.03335898
0.09405522 0.03396409
0.08824979 0.03424060
0.08261272 0.03442498
0.07714152 0.03457107
0.07186461 0.03437793
0.06677320 0.03396992
0.06184431 0.03363263
0.05708321 0.03332816
0.05248365 0.03314901
0.04803935 0.03318794
0.04379768 0.03292284
0.03975844 0.03237507
0.03589546 0.03186214
0.03221090 0.03137694
0.02873208 0.03062345
0.02545762 0.02963340
0.02237993 0.02850857
0.01951534 0.02707641
0.01685131 0.02549357
0.01434308 0.02428465
0.01202091 0.02311512
0.00992906 0.02148970
0.00805230 0.01959252
0.00630990 0.01835597
0.00477164 0.01699016
0.00345841 0.01526374
0.00234541 0.01346681
0.00144294 0.01148728
0.00077645 0.00903874
0.00031540 0.00647457
0.00006012 0.00379393
0.00002126 0.00087730
0.00000000 0.00000000
0.00017118 -0.00083737
0.00068719 -0.00337819
0.00140277 -0.00596221
0.00230845 -0.00848347
0.00342135 -0.01114083
0.00471573 -0.01364364
0.00619044 -0.01598378
0.00785694 -0.01829791
0.00972009 -0.02064810
0.01176927 -0.02292037
0.01399775 -0.02504590
0.01644229 -0.02745436
0.01912045 -0.03035651
0.02196153 -0.03295463
0.02497394 -0.03535646
0.02818589 -0.03789721
0.03161618 -0.04080519
0.03523131 -0.04371155
0.03901575 -0.04645357
0.04297882 -0.04915386
0.04711845 -0.05180510
0.05142203 -0.05428073
0.05589485 -0.05665932
0.06056009 -0.05922529
0.06539961 -0.06179075
0.07038841 -0.06409058
0.07553822 -0.06628009
0.08087395 -0.06866647
0.08639061 -0.07121549
0.09207591 -0.07381031
0.09793261 -0.07650677
0.10393860 -0.07907705
0.11007656 -0.08134905
0.11636417 -0.08355129
0.12280138 -0.08571057
0.12936700 -0.08761227
0.13605316 -0.08919520
0.14289228 -0.09085916
0.14990945 -0.09292103
0.15705887 -0.09488771
0.16431380 -0.09648425
0.17170667 -0.09811349
0.17922899 -0.09971061
0.18689171 -0.10143400
0.19470264 -0.10340627
0.20262292 -0.10521723
0.21063389 -0.10668808
0.21871531 -0.10762248
0.22689154 -0.10833483
0.23520396 -0.10933462
0.24363214 -0.11042490
0.25213358 -0.11115676
0.26074329 -0.11196828
0.26948392 -0.11315671
0.27826281 -0.11370091
0.28710657 -0.11394395
0.29602639 -0.11405340
0.30500115 -0.11382742
0.31405405 -0.11357159
0.32323312 -0.11387569
0.33245379 -0.11381344
0.34171921 -0.11346184
0.35100914 -0.11263116
0.36034375 -0.11159367
0.36975971 -0.11081108
0.37921851 -0.10988503
0.38872417 -0.10890439
0.39828025 -0.10795247
0.40786419 -0.10681438
0.41741475 -0.10483291
0.42698178 -0.10262158
0.43665330 -0.10123078
0.44635537 -0.09985856
0.45605533 -0.09817507
0.46575099 -0.09619943
0.47542175 -0.09373995
0.48511842 -0.09142200
0.49486264 -0.08953734
0.50458041 -0.08728356
0.51431464 -0.08519608
