x y
0.96535696 0.08053247
0.96187592 0.07978890
0.95821780 0.07898409
0.95438234 0.07813853
0.95036689 0.07730143
0.94616521 0.07656581
0.94176603 0.07608513
0.93718816 0.07565682
0.93246434 0.07491400
0.92761004 0.07369574
0.92260882 0.07221964
0.91742744 0.07090352
0.91204006 0.07007820
0.90647581 0.06942355
0.90075829 0.06868594
0.89490706 0.06766022
0.88893493 0.06622188
0.88280831 0.06479735
0.87648188 0.06395298
0.86997918 0.06343897
0.86333915 0.06282429
0.85657375 0.06199812
0.84967566 0.06107872
0.84263024 0.06027194
0.83544276 0.05954832
0.82813606 0.05867060
0.82072097 0.05754454
0.81318031 0.05640866
0.80549524 0.05552145
0.79768533 0.05468694
0.78976166 0.05381033
0.78169428 0.05328344
0.77347372 0.05325630
0.76511972 0.05353279
0.75669641 0.05339137
0.74825270 0.05229118
0.73970086 0.05131190
0.73101448 0.05080623
0.72219630 0.05078240
0.71331564 0.05045925
0.70438103 0.04977710
0.69533161 0.04949881
0.68614778 0.04989885
0.67687477 0.05048337
0.66761249 0.05011072
0.65832674 0.04922921
0.64890379 0.04923050
0.63940000 0.04948985
0.62980817 0.05013681
0.62022808 0.05003241
0.61065490 0.04927849
0.60099593 0.04901844
0.59121010 0.04978390
0.58141192 0.05026238
0.57160834 0.05041686
0.56173174 0.05109396
0.55184688 0.05157157
0.54193374 0.05213265
0.53200538 0.05266798
0.52208720 0.05292207
0.51214574 0.05333765
0.50223314 0.05334211
0.49230979 0.05345123
0.48231430 0.05443833
0.47235924 0.05501503
0.46244314 0.05524449
0.45252889 0.05561249
0.44262254 0.05609315
0.43275698 0.05634197
0.42295746 0.05610540
0.41313562 0.05647632
0.40337160 0.05654993
0.39361252 0.05699820
0.38395914 0.05667191
0.37433788 0.05648786
0.36479509 0.05594139
0.35529558 0.05549389
0.34581189 0.05551503
0.33642204 0.05512398
0.32710874 0.05456904
0.31784512 0.05421219
0.30861169 0.05432758
0.29944396 0.05453672
0.29038134 0.05441501
0.28140401 0.05423921
0.27250122 0.05417838
0.26367911 0.05420113
0.25494183 0.05429891
0.24629303 0.05446892
0.23773425 0.05473279
0.22926782 0.05510256
0.22092475 0.05524954
0.21274006 0.05479712
0.20462820 0.05479758
0.19661279 0.05500830
0.18868558 0.05556430
0.18088582 0.05603677
0.17327547 0.05572690
0.16578968 0.05543891
0.15841242 0.05539760
0.15115173 0.05554191
0.14402224 0.05573171
0.13703614 0.05585555
0.13019353 0.05594457
0.12348617 0.05612805
0.11691350 0.05644358
0.11048578 0.05679976
0.10421013 0.05714197
0.09809250 0.05742845
0.09216129 0.05735075
0.08642396 0.05684790
0.08087839 0.05597180
0.07548396 0.05523005
0.07025471 0.05448143
0.06518447 0.05382353
0.06024575 0.05360597
0.05545918 0.05360704
0.05087445 0.05326000
0.04649621 0.05253107
0.04230730 0.05164416
0.03831306 0.05055561
0.03454040 0.04896557
0.03097683 0.04703997
0.02763263 0.04467430
0.02447685 0.04225168
0.02141749 0.04087850
0.01856085 0.03930917
0.01593936 0.03717318
0.01350392 0.03506545
0.01123293 0.03325427
0.00910994 0.03194563
0.00718269 0.03058416
0.00550172 0.02858013
0.00404996 0.02614444
0.00281131 0.02347560
0.00174004 0.02112248
0.00082509 0.01922209
0.00026600 0.01541401
0.00016017 0.00854780
0.00007367 0.00377030
0.00001694 0.00096023
0.00000000 0.00000000
0.00017449 -0.00090737
0.00066316 -0.00321756
0.00143482 -0.00656203
0.00248643 -0.01090716
0.00378735 -0.01589278
0.00521664 -0.02008940
0.00671561 -0.02280623
0.00838447 -0.02523715
0.01029111 -0.02819367
0.01241248 -0.03141019
0.01472334 -0.03459599
0.01722118 -0.03773096
0.01988211 -0.04054206
0.02271415 -0.04313577
0.02575234 -0.04593939
0.02901238 -0.04915199
0.03248157 -0.05263688
0.03614560 -0.05623916
0.03998715 -0.05976910
0.04398805 -0.06302773
0.04818009 -0.06640898
0.05261549 -0.07054999
0.05723168 -0.07472809
0.06200470 -0.07867892
0.06694796 -0.08258186
0.07204019 -0.08620636
0.07728481 -0.08961486
0.08269388 -0.09297351
0.08826331 -0.09625744
0.09397458 -0.09927153
0.09982708 -0.10203381
0.10585149 -0.10493410
0.11207109 -0.10827497
0.11845881 -0.11176313
0.12499605 -0.11520617
0.13169289 -0.11875258
0.13853005 -0.12220337
0.14547553 -0.12520952
0.15252854 -0.12779265
0.15970875 -0.13021748
0.16702250 -0.13259157
0.17446936 -0.13494267
0.18205455 -0.13736613
0.18977317 -0.13983818
0.19760821 -0.14219187
0.20555454 -0.14440174
0.21362104 -0.14660884
0.22181800 -0.14897178
0.23014573 -0.15153117
0.23851177 -0.15322844
0.24694483 -0.15444215
0.25550288 -0.15589791
0.26417752 -0.15753530
0.27296065 -0.15929768
0.28175510 -0.16007308
0.29062999 -0.16072145
0.29958755 -0.16130993
0.30862032 -0.16179140
0.31772408 -0.16215735
0.32690041 -0.16246841
0.33611677 -0.16238142
0.34535355 -0.16170640
0.35467682 -0.16126969
0.36408122 -0.16105105
0.37346769 -0.15991976
0.38291120 -0.15880843
0.39240817 -0.15771882
0.40191120 -0.15613325
0.41145958 -0.15456231
0.42097021 -0.15206543
0.43054876 -0.14994056
0.44013676 -0.14753943
0.44978561 -0.14551684
0.45938550 -0.14261639
0.46901246 -0.13978506
0.47866057 -0.13699818
0.48829904 -0.13393672
0.49789576 -0.13026563
0.50755563 -0.12727420
0.51722932 -0.12442380
0.52686160 -0.12110538
0.53649175 -0.11783061
0.54607562 -0.11412186
0.55565640 -0.11053691
0.56519158 -0.10661755
0.57472185 -0.10289183
0.58424215 -0.09934537
0.59368015 -0.09516624
0.60310716 -0.09124492
0.61258178 -0.08832118
0.62200413 -0.08525623
0.63129488 -0.08115427
0.64054444 -0.07713179
0.64972982 -0.07296058
0.65894862 -0.06984177
0.66810205 -0.06664808
0.67711238 -0.06250175
0.68603073 -0.05805205
0.69491490 -0.05402726
0.70377832 -0.05062918
0.71255340 -0.04709889
0.72120809 -0.04309844
0.72979442 -0.03928639
0.73833326 -0.03595121
0.74681563 -0.03302721
0.75514289 -0.02938571
0.76332007 -0.02512604
0.77139675 -0.02087559
0.77940200 -0.01701803
0.78733901 -0.01362961
0.79517226 -0.01032740
0.80288971 -0.00700619
0.81050710 -0.00388949
0.81801689 -0.00092455
0.82539346 0.00215649
0.83262606 0.00544580
0.83972950 0.00873300
0.84671395 0.01186327
0.85356815 0.01493675
0.86027758 0.01809263
0.86683180 0.02142218
0.87324981 0.02466875
0.87956462 0.02740993
0.88576910 0.02969990
0.89181545 0.03207595
0.89768165 0.03476999
0.90338275 0.03757542
0.90892768 0.04035891
0.91433799 0.04283832
0.91962578 0.04484421
0.92476488 0.04666156
0.92972369 0.04864030
0.93448721 0.05093480
0.93906205 0.05344348
0.94347353 0.05584422
0.94773556 0.05795077
0.95183958 0.05984400
0.95577621 0.06161548
0.95954002 0.06331039
0.96312730 0.06495497
0.96653654 0.06654968
