eval,score,cl,cd
1,-0.13324791673883907,-1.22999,0.023251
2,-0.06689805292513074,-1.14972,0.019728
3,-0.06583177892684694,-0.97721,0.01708
4,-0.015635441522233895,-1.02017,0.015984
5,-0.004150562593729978,-1.13015,0.017249
6,-0.139060321113469,-1.35796,0.02539
7,0.015295558795576092,-1.22863,0.018063
8,-0.27150077710282916,-0.98199,0.024307
9,-0.06044737058787786,-1.24727,0.02098
10,0.002001526893089911,-1.13656,0.017132
11,-0.12292338849568496,-1.23119,0.02291
12,-0.2978374074749077,-0.96546,0.024973
13,-0.01603649621916725,-1.0209,0.016009
14,-0.2456628974819718,-1.16467,0.026173
15,-0.02798264336462719,-1.31112,0.020817
16,-0.05774952019749385,-0.98581,0.016929
17,-0.06737954650090344,-0.97504,0.017101
18,-1.1720711811229982,-1.03945,0.056505
19,-0.06868699188706245,-1.14911,0.019781
20,0.017713247348948857,-1.22236,0.017884
21,-0.14996910787811957,-1.35806,0.025771
22,-0.05303805378869003,-1.03179,0.017461
23,-0.054508181520135146,-1.25623,0.020909
24,0.00607467186007149,-1.21662,0.018202
25,-0.08675395954426146,-1.02116,0.018473
26,-0.015863085657537468,-1.02077,0.016001
27,0.008065702794065932,-1.32612,0.01979
28,-0.08287893568341914,-0.96591,0.017502
29,-0.09163574723221746,-1.1812,0.021065
30,-0.018277996763661375,-1.01218,0.015955
31,-0.06967367997200458,-1.14856,0.019807
32,-0.02766307159959769,-1.02827,0.016525
33,-0.09354898689950625,-0.85701,0.016225
34,0.015227542717309528,-1.207,0.017738
35,-0.06569426571614911,-0.97746,0.017079
36,0.015809663528231765,-1.23556,0.01815
37,0.018325726080038907,-1.2276,0.017942
38,0.018285636450631415,-1.22764,0.017944
39,0.004204161853077482,-1.21536,0.018248
40,-0.009161553894375674,-1.04397,0.016119
41,-0.02870458575016921,-1.27986,0.020369
42,-0.01618688615127245,-1.01844,0.015977
43,-0.03969751445582953,-0.99975,0.016512
44,-0.03622125239173252,-1.00034,0.0164
45,0.012199042302851182,-1.33159,0.019729
46,0.002957017196374978,-1.26925,0.019107
47,0.015538987788168868,-1.23507,0.018152
