eval,score,cl,cd
1,-0.009170966983266915,-1.0043,0.014976
2,0.03399997684891032,-1.00537,0.01394
3,-0.05927764513870326,-0.88866,0.014498
4,-0.08555357868653024,-0.72309,0.012706
5,0.02440484573176893,-1.06543,0.015056
6,-0.08269754293409354,-0.80945,0.013905
7,0.05513262609569003,-1.21054,0.016439
8,0.0354919317855622,-1.2826,0.017976
9,0.04507500657023955,-1.1475,0.015758
10,0.024022912981412348,-1.14465,0.016229
11,-0.10616442993024555,-1.23556,0.020736
12,-0.1390189158910966,-1.33969,0.023066
13,-0.09710767035351897,-0.85567,0.014935
14,-0.058902021606822785,-0.95273,0.01543
15,0.048372006655988176,-1.06195,0.014421
16,-0.01756458358194246,-0.98718,0.014929
17,0.07030558172776868,-1.2146,0.016129
18,0.045093095719025755,-1.14753,0.015758
19,-0.013296966879335348,-0.98922,0.014855
20,0.046701399468478955,-1.14904,0.015741
21,-0.006222468341381182,-1.00388,0.014898
22,0.032282524851900196,-1.28143,0.018037
23,0.020866759476372065,-1.05398,0.014974
24,-0.16826810826085514,-1.33441,0.023701
25,0.027157901124179373,-0.99872,0.014009
26,-0.003288316479571618,-1.00861,0.014896
27,0.04018874843121567,-1.12299,0.015517
28,0.03962464619322059,-1.14486,0.015852
29,-0.00842933050326966,-1.19131,0.017705
30,0.0883899182269724,-1.17849,0.015158
31,0.05100534042982141,-1.06162,0.014352
32,0.04139065272262288,-1.14704,0.015841
33,0.04444514734774463,-1.14877,0.015792
34,0.08043175490924825,-1.14943,0.014925
35,0.03582326024776061,-1.00676,0.013916
36,0.049264136030637284,-1.2085,0.016552
37,0.05101084218200125,-1.12671,0.015308
38,0.028736253503838016,-0.99453,0.013909
39,0.042414851970639766,-1.12321,0.015466
40,0.0020677129435757724,-1.28476,0.018822
41,-0.028975584801001486,-0.93129,0.014386
42,0.045020704963603775,-1.17961,0.016231
43,0.06596103993503388,-1.07274,0.014151
44,0.04429519638731716,-1.0509,0.014358
45,0.02774781484016664,-1.06369,0.014949
46,0.06423376770275913,-1.18472,0.015838
47,0.046546935933383105,-1.14715,0.015717
48,0.0421732580270443,-1.13234,0.015606
49,0.055936882776294716,-1.05843,0.014185
50,0.055551776001580344,-1.14949,0.015532
51,0.09290024382171447,-1.2019,0.015392
52,0.08886185571783756,-1.17866,0.015149
53,0.050990731217734564,-1.0618,0.014355
54,0.04289757711424358,-1.18065,0.016298
55,0.05266652959499207,-1.14028,0.015467
56,0.08021785914817303,-1.13723,0.014751
57,0.05040209240146476,-1.1289,0.015355
58,0.021935801928416487,-1.08169,0.015355
59,0.04381230044232509,-1.15446,0.015891
60,0.07016666843197872,-1.21471,0.016134
61,0.09575450155057674,-1.14979,0.014557
62,0.08708501650533618,-1.14964,0.014766
63,0.07869349781271873,-1.20979,0.015854
