x y
0.96532492 0.08091232
0.96183194 0.08031029
0.95816042 0.07966428
0.95431206 0.07897153
0.95028747 0.07824292
0.94608556 0.07751006
0.94170382 0.07682258
0.93713578 0.07627770
0.93238541 0.07584963
0.92747095 0.07534452
0.92241696 0.07449398
0.91721961 0.07336719
0.91186608 0.07214055
0.90633225 0.07112535
0.90061017 0.07044182
0.89472243 0.06984885
0.88868800 0.06914902
0.88251745 0.06824532
0.87622125 0.06704251
0.86977842 0.06581880
0.86315810 0.06497050
0.85637171 0.06439312
0.84944203 0.06384818
0.84238947 0.06312604
0.83521064 0.06229996
0.82789801 0.06149254
0.82044812 0.06077896
0.81287144 0.06007000
0.80518540 0.05919430
0.79739117 0.05817395
0.78947429 0.05721684
0.78142996 0.05641670
0.77327229 0.05564408
0.76500628 0.05487755
0.75662320 0.05425924
0.74810125 0.05408656
0.73946405 0.05411898
0.73074797 0.05396546
0.72198990 0.05322912
0.71316641 0.05222830
0.70423406 0.05151932
0.69518590 0.05122608
0.68605129 0.05104270
0.67687126 0.05052501
0.66763005 0.04990256
0.65828824 0.04968565
0.64884625 0.04991258
0.63934654 0.05012367
0.62984493 0.04970098
0.62031725 0.04897546
0.61070197 0.04872057
0.60100559 0.04890386
0.59127360 0.04903118
0.58150445 0.04916558
0.57176026 0.04861589
0.56199505 0.04797267
0.55214947 0.04798469
0.54224683 0.04842133
0.53235176 0.04856196
0.52246436 0.04845119
0.51253629 0.04870804
0.50259589 0.04904208
0.49268094 0.04905157
0.48274319 0.04935418
0.47282004 0.04955265
0.46292742 0.04950379
0.45303307 0.04963601
0.44316065 0.04971429
0.43334341 0.04939040
0.42351659 0.04947751
0.41365218 0.05035299
0.40388489 0.05046527
0.39415490 0.05056887
0.38446118 0.05072070
0.37480698 0.05092719
0.36518589 0.05130881
0.35564874 0.05130752
0.34615951 0.05139437
0.33671076 0.05170138
0.32733167 0.05192641
0.31800136 0.05236021
0.30874570 0.05273902
0.29958612 0.05285158
0.29049940 0.05301551
0.28149608 0.05314778
0.27259402 0.05307834
0.26374319 0.05344156
0.25497932 0.05385453
0.24634372 0.05386810
0.23780188 0.05393120
0.22933478 0.05430880
0.22094982 0.05495236
0.21268890 0.05540357
0.20455183 0.05570289
0.19652590 0.05603838
0.18861325 0.05642172
0.18081752 0.05684640
0.17314206 0.05730836
0.16558924 0.05781494
0.15815738 0.05842095
0.15088959 0.05864926
0.14377895 0.05861565
0.13679452 0.05871981
0.12991801 0.05921067
0.12320491 0.05946208
0.11668906 0.05910409
0.11032538 0.05870120
0.10409082 0.05855622
0.09801262 0.05837535
0.09210037 0.05807285
0.08634350 0.05780163
0.08073600 0.05765979
0.07528946 0.05753572
0.07002223 0.05723732
0.06494609 0.05664934
0.06009847 0.05535179
0.05542724 0.05398572
0.05092706 0.05263642
0.04658767 0.05144689
0.04238518 0.05072098
0.03836535 0.04993574
0.03456240 0.04870472
0.03095869 0.04725499
0.02755930 0.04554355
0.02438640 0.04332396
0.02142315 0.04081135
0.01867826 0.03791743
0.01604242 0.03595154
0.01359659 0.03396702
0.01137782 0.03153675
0.00934133 0.02920282
0.00745633 0.02734048
0.00573637 0.02579862
0.00424840 0.02379208
0.00299952 0.02124457
0.00195167 0.01861382
0.00105467 0.01650067
0.00038265 0.01403129
0.00013633 0.00883043
0.00005453 0.00399718
0.00000953 0.00104805
0.00000000 0.00000000
0.00018143 -0.00098970
0.00068743 -0.00350524
0.00148918 -0.00720639
0.00258107 -0.01202894
0.00376495 -0.01562717
0.00503871 -0.01798019
0.00651017 -0.02037097
0.00821124 -0.02318374
0.01010851 -0.02602917
0.01217961 -0.02864968
0.01441277 -0.03091456
0.01683523 -0.03315590
0.01948734 -0.03586246
0.02235615 -0.03889192
0.02541650 -0.04195825
0.02864017 -0.04473976
0.03205256 -0.04755141
0.03571694 -0.05115789
0.03954966 -0.05458306
0.04355649 -0.05791196
0.04771774 -0.06092827
0.05203590 -0.06367953
0.05652535 -0.06635524
0.06117222 -0.06881059
0.06596484 -0.07092784
0.07094015 -0.07316638
0.07612155 -0.07582556
0.08147992 -0.07858311
0.08700891 -0.08138760
0.09269880 -0.08414825
0.09851121 -0.08643541
0.10444742 -0.08829008
0.11053139 -0.09002322
0.11677112 -0.09175709
0.12317215 -0.09358549
0.12972866 -0.09546836
0.13642236 -0.09721859
0.14325668 -0.09890710
0.15025093 -0.10079362
0.15738320 -0.10265025
0.16459387 -0.10380238
0.17192181 -0.10474374
0.17941005 -0.10601800
0.18703407 -0.10736869
0.19474001 -0.10819204
0.20254941 -0.10877862
0.21047920 -0.10936522
0.21852361 -0.10991985
0.22667906 -0.11043699
0.23494237 -0.11091655
0.24331152 -0.11137265
0.25176477 -0.11158614
0.26029006 -0.11145302
0.26892929 -0.11150958
0.27768337 -0.11180655
0.28651475 -0.11193916
0.29538946 -0.11154543
0.30436150 -0.11130696
0.31342343 -0.11117701
0.32252948 -0.11065505
0.33170216 -0.11005021
0.34091100 -0.10904409
0.35017300 -0.10788102
0.35949236 -0.10665438
0.36886609 -0.10537205
0.37830331 -0.10418617
0.38774782 -0.10247460
0.39723385 -0.10068761
0.40676142 -0.09886987
0.41632822 -0.09703898
0.42592313 -0.09510790
0.43548310 -0.09237459
0.44514149 -0.09046507
0.45484615 -0.08880663
0.46452637 -0.08660654
0.47422293 -0.08439409
0.48393846 -0.08224599
0.49363222 -0.07972524
0.50333010 -0.07718445
0.51304134 -0.07477909
0.52271478 -0.07194869
0.53240369 -0.06937038
0.54209366 -0.06691938
0.55172926 -0.06398422
0.56134682 -0.06104150
0.57099429 -0.05870504
0.58064021 -0.05664769
0.59020984 -0.05402886
0.59970080 -0.05086565
0.60917219 -0.04790362
0.61860477 -0.04495991
0.62804177 -0.04259173
0.63742679 -0.04017501
0.64669884 -0.03703110
0.65589639 -0.03366036
0.66506043 -0.03059251
0.67419741 -0.02794743
