x y
0.96522847 0.08208542
0.96175909 0.08122401
0.95812050 0.08021294
0.95431706 0.07901904
0.95034613 0.07768990
0.94620100 0.07632066
0.94187656 0.07498867
0.93737527 0.07368564
0.93270169 0.07238012
0.92785744 0.07107480
0.92284611 0.06975083
0.91766975 0.06840767
0.91231699 0.06719907
0.90678956 0.06612948
0.90110949 0.06497208
0.89528071 0.06370779
0.88930674 0.06232282
0.88319736 0.06073252
0.87695360 0.05895300
0.87055918 0.05719907
0.86399576 0.05570970
0.85727490 0.05438261
0.85043147 0.05284947
0.84346038 0.05119957
0.83632300 0.04990671
0.82904041 0.04876187
0.82164648 0.04741098
0.81410769 0.04627069
0.80643128 0.04529229
0.79867699 0.04382741
0.79083334 0.04204236
0.78281466 0.04095264
0.77466771 0.04005985
0.76642746 0.03900077
0.75808390 0.03792678
0.74965180 0.03670703
0.74112566 0.03544222
0.73249100 0.03433674
0.72377026 0.03317279
0.71497277 0.03188310
0.70606014 0.03094644
0.69704052 0.03031004
0.68796111 0.02947421
0.67884844 0.02817672
0.66964837 0.02707775
0.66036032 0.02622552
0.65099072 0.02558825
0.64156098 0.02496316
0.63208606 0.02422159
0.62256338 0.02343554
0.61299675 0.02260428
0.60337633 0.02188348
0.59369190 0.02143313
0.58398722 0.02079612
0.57427978 0.01981621
0.56454688 0.01879653
0.55476232 0.01808075
0.54491633 0.01782455
0.53503823 0.01773649
0.52513195 0.01781596
0.51525104 0.01749458
0.50538647 0.01691998
0.49549942 0.01658023
0.48560252 0.01637541
0.47573043 0.01595316
0.46581418 0.01614659
0.45590580 0.01640494
0.44604823 0.01628113
0.43622575 0.01599911
0.42644475 0.01552953
0.41668262 0.01517513
0.40687975 0.01566124
0.39710269 0.01627034
0.38741958 0.01626650
0.37779026 0.01615226
0.36819937 0.01614641
0.35864134 0.01635540
0.34913766 0.01657601
0.33968892 0.01684392
0.33026819 0.01750920
0.32090827 0.01823855
0.31165025 0.01860347
0.30246819 0.01894174
0.29337560 0.01913979
0.28436534 0.01931988
0.27538145 0.02016220
0.26648439 0.02101486
0.25769296 0.02170237
0.24899428 0.02241105
0.24039881 0.02305976
0.23195312 0.02315403
0.22358712 0.02353313
0.21529869 0.02425846
0.20713407 0.02483808
0.19908970 0.02534875
0.19113704 0.02615261
0.18328090 0.02722996
0.17557019 0.02805597
0.16801629 0.02853467
0.16061512 0.02874623
0.15335342 0.02887514
0.14620327 0.02927336
0.13917151 0.02989421
0.13228102 0.03050717
0.12552643 0.03120434
0.11893794 0.03167013
0.11251922 0.03189168
0.10621701 0.03250691
0.10004746 0.03335892
0.09405523 0.03396401
0.08824980 0.03424051
0.08261273 0.03442489
0.07714152 0.03457097
0.07186462 0.03437781
0.06677321 0.03396980
0.06184432 0.03363251
0.05708322 0.03332804
0.05248366 0.03314889
0.04803936 0.03318782
0.04379769 0.03292272
0.03975845 0.03237493
0.03589547 0.03186201
0.03221091 0.03137681
0.02873209 0.03062331
0.02545763 0.02963325
0.02237994 0.02850843
0.01951535 0.02707627
0.01685132 0.02549344
0.01434309 0.02428453
0.01202093 0.02311499
0.00992907 0.02148957
0.00805231 0.01959242
0.00630991 0.01835587
0.00477165 0.01699006
0.00345842 0.01526365
0.00234542 0.01346673
0.00144295 0.01148721
0.00077646 0.00903868
0.00031541 0.00647453
0.00006013 0.00379391
0.00002127 0.00087729
0.00000000 0.00000000
0.00017118 -0.00083737
0.00068719 -0.00337817
0.00140277 -0.00596218
0.00230845 -0.00848343
0.00342135 -0.01114077
0.00471572 -0.01364357
0.00619043 -0.01598370
0.00785693 -0.01829782
0.00972008 -0.02064799
0.01176926 -0.02292025
0.01399774 -0.02504577
0.01644227 -0.02745422
0.01912043 -0.03035636
0.02196152 -0.03295445
0.02497393 -0.03535627
0.02818588 -0.03789701
0.03161616 -0.04080497
0.03523129 -0.04371132
0.03901572 -0.04645332
0.04297880 -0.04915359
0.04711843 -0.05180481
0.05142201 -0.05428043
0.05589482 -0.05665900
0.06056006 -0.05922496
0.06539958 -0.06179040
0.07038838 -0.06409021
0.07553819 -0.06627970
0.08087392 -0.06866607
0.08639057 -0.07121507
0.09207587 -0.07380989
0.09793257 -0.07650633
0.10393856 -0.07907658
0.11007652 -0.08134856
0.11636413 -0.08355079
0.12280134 -0.08571005
0.12936695 -0.08761173
0.13605311 -0.08919464
0.14289223 -0.09085860
0.14990940 -0.09292046
0.15705882 -0.09488711
0.16431375 -0.09648365
0.17170662 -0.09811287
0.17922893 -0.09970997
0.18689166 -0.10143336
0.19470258 -0.10340562
0.20262286 -0.10521657
0.21063383 -0.10668740
0.21871525 -0.10762179
0.22689148 -0.10833413
0.23520390 -0.10933392
0.24363208 -0.11042419
0.25213352 -0.11115605
0.26074323 -0.11196757
0.26948385 -0.11315599
0.27826275 -0.11370018
0.28710651 -0.11394322
0.29602633 -0.11405268
0.30500108 -0.11382670
0.31405399 -0.11357089
0.32323305 -0.11387499
0.33245373 -0.11381275
0.34171915 -0.11346115
0.35100908 -0.11263049
0.36034369 -0.11159301
0.36975966 -0.11081045
0.37921845 -0.10988442
0.38872412 -0.10890380
0.39828020 -0.10795189
0.40786414 -0.10681383
0.41741471 -0.10483240
0.42698174 -0.10262109
0.43665326 -0.10123031
0.44635533 -0.09985810
0.45605529 -0.09817462
0.46575095 -0.09619901
0.47542171 -0.09373954
0.48511838 -0.09142161
0.49486261 -0.08953696
0.50458037 -0.08728319
0.51431461 -0.08519573
0.52404815 -0.08312244
0.53372955 -0.08051917
0.54337539 -0.07761981
0.55302724 -0.07494410
0.56267624 -0.07243478
0.57233641 -0.07029628
0.58197881 -0.06824149
0.59155655 -0.06577814
0.60106643 -0.06291311
0.61054947 -0.06015944
0.62000355 -0.05753604
0.62940508 -0.05481641
0.63874730 -0.05196642
0.64802543 -0.04897400
0.65723687 -0.04585213
0.66640390 -0.04289802
0.67552536 -0.04014042
0.68459157 -0.03751037
0.69355742 -0.03453358
0.70241242 -0.03113111
0.71121849 -0.02805215
0.71996795 -0.02524933
0.72862344 -0.02233551
0.73718109 -0.01930624
0.74565849 -0.01640206
0.75403829 -0.01346348
0.76230429 -0.01034392
0.77046630 -0.00719354
0.77850943 -0.00387980
0.78646037 -0.00074511
0.79435238 0.00179327
0.80211849 0.00446521
0.80971728 0.00770864
0.81720909 0.01079836
0.82459840 0.01364831
0.83184753 0.01665546
0.83897592 0.01956386
0.84600497 0.02209583
0.85289965 0.02461958
0.85963809 0.02735362
0.86624884 0.02994009
0.87274445 0.03220506
0.87910348 0.03436380
0.88530437 0.03663354
0.89134041 0.03906267
0.89721769 0.04155355
0.90293738 0.04406561
0.90849819 0.04658706
0.91391041 0.04897428
0.91918107 0.05112197
0.92429420 0.05318829
0.92924527 0.05520145
0.93403489 0.05713162
0.93866162 0.05897298
0.94312487 0.06071109
0.94742577 0.06231239
0.95155949 0.06381214
0.95551609 0.06530507
0.95928837 0.06685534
0.96287496 0.06846115
0.96627950 0.07006424
