x y
0.96523290 0.08203480
0.96176157 0.08119560
0.95811846 0.08023624
0.95430946 0.07910590
0.95033526 0.07781432
0.94619110 0.07643389
0.94187087 0.07505374
0.93737283 0.07371361
0.93270182 0.07237860
0.92786021 0.07104315
0.92285043 0.06970140
0.91767648 0.06833077
0.91233756 0.06696383
0.90682199 0.06575860
0.90113694 0.06465816
0.89530419 0.06343928
0.88932555 0.06210774
0.88320463 0.06064942
0.87695068 0.05898641
0.87056295 0.05715592
0.86402519 0.05537312
0.85732151 0.05384956
0.85046484 0.05246782
0.84348877 0.05087491
0.83638790 0.04916432
0.82912517 0.04779244
0.82171857 0.04658644
0.81420272 0.04518372
0.80655160 0.04391619
0.79875963 0.04288218
0.79088150 0.04149145
0.78293604 0.03956444
0.77482674 0.03824105
0.76657913 0.03726596
0.75823962 0.03614577
0.74980147 0.03499515
0.74127087 0.03378136
0.73266118 0.03239030
0.72394731 0.03114778
0.71514259 0.02994074
0.70626593 0.02859277
0.69730259 0.02731261
0.68822396 0.02646795
0.67906487 0.02570131
0.66987329 0.02450522
0.66062838 0.02315956
0.65130095 0.02204000
0.64189369 0.02115780
0.63241745 0.02043127
0.62289530 0.01963920
0.61333204 0.01876941
0.60372665 0.01787661
0.59408735 0.01691010
0.58439936 0.01608235
0.57465889 0.01548009
0.56490266 0.01472736
0.55515159 0.01362851
0.54538654 0.01244644
0.53557875 0.01155425
0.52572529 0.01102967
0.51584590 0.01069087
0.50593803 0.01061146
0.49604820 0.01030356
0.48618862 0.00967185
0.47634111 0.00896853
0.46647674 0.00856861
0.45662851 0.00813895
0.44680473 0.00762865
0.43695224 0.00768986
0.42712435 0.00775670
0.41735550 0.00747904
0.40763015 0.00707858
0.39795602 0.00651036
0.38832239 0.00594066
0.37868330 0.00593815
0.36903931 0.00653963
0.35950182 0.00651365
0.35004501 0.00619821
0.34064143 0.00594958
0.33128602 0.00586777
0.32197947 0.00598667
0.31274188 0.00611785
0.30357119 0.00632614
0.29444547 0.00690320
0.28538399 0.00766913
0.27643532 0.00810853
0.26757482 0.00854308
0.25880758 0.00895397
