x y
0.96519949 0.08239922
0.96169454 0.08193897
0.95801097 0.08143587
0.95414942 0.08089952
0.95010849 0.08036453
0.94588391 0.07990045
0.94147267 0.07956264
0.93687070 0.07941996
0.93210951 0.07912025
0.92720737 0.07846896
0.92216260 0.07750914
0.91695302 0.07652733
0.91155126 0.07587244
0.90596156 0.07551959
0.90021138 0.07516910
0.89431484 0.07468038
0.88828893 0.07387956
0.88213066 0.07283028
0.87579615 0.07208158
0.86928010 0.07172592
0.86260375 0.07154184
0.85580108 0.07115734
0.84886854 0.07064631
0.84179924 0.07012269
0.83458543 0.06971117
0.82723855 0.06930976
0.81977780 0.06872497
0.81220291 0.06799487
0.80449913 0.06732945
0.79665910 0.06685203
0.78870116 0.06638152
0.78062855 0.06591670
0.77241498 0.06580671
0.76406006 0.06609413
0.75559424 0.06645656
0.74707043 0.06630599
0.73849336 0.06562572
0.72981326 0.06504568
0.72099773 0.06499037
0.71207790 0.06513155
0.70309771 0.06498966
0.69405505 0.06463130
0.68489985 0.06469196
0.67562758 0.06526775
0.66629150 0.06576981
0.65695040 0.06554454
0.64757196 0.06501804
0.63806422 0.06532441
0.62848570 0.06581345
0.61885155 0.06634988
0.60921307 0.06637002
0.59957403 0.06587380
0.58984930 0.06591496
0.58002596 0.06669166
0.57019166 0.06721020
0.56035606 0.06740142
0.55045333 0.06809083
0.54054051 0.06864812
0.53061758 0.06911908
0.52066578 0.06977174
0.51074075 0.06999242
0.50079285 0.07041546
0.49086238 0.07060894
0.48096761 0.07040207
0.47094614 0.07176605
0.46101606 0.07216127
0.45110635 0.07247539
0.44120988 0.07283889
0.43132494 0.07331756
0.42148271 0.07358719
0.41168951 0.07361861
0.40190431 0.07394329
0.39216230 0.07418927
0.38244174 0.07465933
0.37281284 0.07456581
0.36322088 0.07460224
0.35370848 0.07430749
0.34424346 0.07410739
0.33480896 0.07424554
0.32546708 0.07402945
0.31620791 0.07361986
0.30699547 0.07348638
0.29782938 0.07367612
0.28875224 0.07372644
0.27977536 0.07354535
0.27088195 0.07337340
0.26207150 0.07325787
0.25334949 0.07317460
0.24471933 0.07312373
0.23618357 0.07311475
0.22774390 0.07316718
0.21942656 0.07300913
0.21126846 0.07224161
0.20318538 0.07190084
0.19519907 0.07176677
0.18731441 0.07181834
0.17958689 0.07143435
0.17202373 0.07056511
0.16457061 0.06988994
0.15723349 0.06937275
0.15002353 0.06891568
0.14295477 0.06838560
0.13603143 0.06776555
0.12924334 0.06720821
0.12259000 0.06675135
0.11608100 0.06631212
0.10972240 0.06584895
0.10352258 0.06529227
0.09750370 0.06440806
0.09168044 0.06305078
0.08602822 0.06153904
0.08052551 0.06015488
0.07518919 0.05872431
0.07001136 0.05736613
0.06495897 0.05649659
0.06007262 0.05565826
0.05538511 0.05448510
0.05089139 0.05305924
0.04657837 0.05155718
0.04245500 0.04989330
0.03854417 0.04781599
0.03483096 0.04552126
0.03131611 0.04301803
0.02798315 0.04051910
0.02477674 0.03869680
0.02175520 0.03687529
0.01895152 0.03467809
0.01633486 0.03248491
0.01389060 0.03048177
0.01160131 0.02888745
0.00949019 0.02743815
0.00759894 0.02564991
0.00593158 0.02348460
0.00447167 0.02114544
0.00319875 0.01888285
0.00208084 0.01708267
0.00116928 0.01514206
0.00063731 0.01101255
0.00034793 0.00632211
0.00014424 0.00293383
0.00003230 0.00077814
0.00000000 0.00000000
0.00016216 -0.00076125
0.00062487 -0.00276364
0.00136579 -0.00574379
0.00238924 -0.00975501
0.00364033 -0.01414996
0.00493642 -0.01676760
0.00636611 -0.01866327
0.00801159 -0.02081700
0.00987721 -0.02328724
0.01193769 -0.02578198
0.01418106 -0.02816776
0.01659045 -0.03025422
0.01916982 -0.03209860
0.02195096 -0.03408887
0.02495195 -0.03645143
0.02815933 -0.03903981
0.03155623 -0.04166785
0.03512564 -0.04414848
0.03886097 -0.04641933
0.04280909 -0.04905214
0.04697961 -0.05217832
0.05131249 -0.05510416
0.05581202 -0.05789938
0.06047133 -0.06050219
0.06527789 -0.06278475
0.07024908 -0.06497441
0.07538563 -0.06710189
0.08067138 -0.06899864
0.08609963 -0.07060895
0.09169729 -0.07227627
0.09749614 -0.07440270
0.10345985 -0.07658338
0.10957758 -0.07871673
0.11586096 -0.08096795
0.12228741 -0.08309773
0.12882727 -0.08478327
0.13548510 -0.08610822
0.14227911 -0.08731886
0.14921225 -0.08848098
0.15628494 -0.08963140
0.16350188 -0.09085788
0.17085699 -0.09212126
0.17833443 -0.09326757
0.18593205 -0.09430531
0.19365813 -0.09536725
0.20151795 -0.09655160
0.20950955 -0.09787087
0.21757138 -0.09863200
0.22570776 -0.09892310
0.23397092 -0.09940090
0.24235898 -0.10008112
0.25087243 -0.10100822
0.25942094 -0.10115037
0.26805653 -0.10116375
0.27678775 -0.10118972
0.28560736 -0.10118279
0.29451173 -0.10114085
0.30349819 -0.10107324
0.31256357 -0.10098423
0.32168226 -0.10061211
0.33085194 -0.09997169
0.34010542 -0.09949469
0.34945578 -0.09937903
0.35882248 -0.09871353
0.36823441 -0.09788410
0.37772299 -0.09730703
0.38723429 -0.09638722
0.39679192 -0.09544895
0.40634807 -0.09397001
0.41593690 -0.09240016
0.42554882 -0.09067086
0.43521298 -0.08917256
0.44488164 -0.08738472
0.45454597 -0.08524822
0.46423685 -0.08317458
0.47394332 -0.08107951
0.48364836 -0.07880715
0.49328665 -0.07562876
0.50305710 -0.07394832
0.51277908 -0.07167029
0.52248276 -0.06919834
0.53218922 -0.06682809
0.54184401 -0.06395999
0.55150216 -0.06129221
0.56112441 -0.05840501
0.57072516 -0.05551475
0.58032937 -0.05296305
0.58985748 -0.04985196
0.59936263 -0.04685694
0.60889712 -0.04464291
0.61839830 -0.04251241
0.62778257 -0.03951912
0.63710331 -0.03634041
0.64638531 -0.03331460
0.65564980 -0.03073735
0.66488850 -0.02855440
0.67399405 -0.02553677
0.68300003 -0.02212599
0.69196299 -0.01903509
0.70089421 -0.01644066
0.70975288 -0.01390121
0.71849583 -0.01094708
0.72715634 -0.00801433
0.73576324 -0.00548590
0.74430706 -0.00329046
0.75273058 -0.00078993
0.76099313 0.00245774
0.76915668 0.00567834
0.77723521 0.00866728
0.78524103 0.01123999
0.79314849 0.01366253
0.80093802 0.01612936
0.80862087 0.01847002
0.81619698 0.02064876
0.82364495 0.02288351
0.83095088 0.02530356
0.83812294 0.02777724
0.84517330 0.03012636
0.85209498 0.03239988
0.85887372 0.03473412
0.86550010 0.03720831
0.87198221 0.03969489
0.87835009 0.04180697
0.88460578 0.04349003
0.89071328 0.04514121
0.89664164 0.04709835
0.90240089 0.04921448
0.90800190 0.05133320
0.91345855 0.05326328
0.91878818 0.05477325
0.92397098 0.05607252
0.92897723 0.05748890
0.93379212 0.05917438
0.93841768 0.06108198
0.94287554 0.06293292
0.94718050 0.06453051
0.95132491 0.06594495
0.95530012 0.06725905
0.95910123 0.06851192
0.96272461 0.06972849
0.96616871 0.07091002
