x y
0.96482820 0.08666349
0.96131805 0.08626833
0.95763999 0.08570878
0.95379499 0.08499025
0.94977705 0.08419885
0.94557823 0.08344358
0.94119664 0.08276521
0.93663826 0.08211526
0.93190492 0.08149318
0.92699950 0.08088751
0.92192571 0.08027791
0.91667844 0.07974583
0.91124398 0.07947158
0.90565039 0.07915880
0.89990857 0.07870767
0.89401554 0.07817822
0.88798477 0.07744284
0.88182099 0.07647474
0.87550421 0.07553046
0.86901603 0.07484891
0.86235977 0.07442132
0.85557615 0.07381208
0.84866662 0.07303494
0.84158318 0.07267013
0.83434856 0.07248928
0.82699986 0.07210071
0.81950421 0.07191311
0.81186118 0.07196509
0.80415739 0.07129992
0.79634897 0.07045417
0.78834094 0.07054922
0.78021794 0.07065266
0.77200196 0.07054948
0.76367166 0.07052014
0.75526113 0.07021230
0.74673982 0.07001282
0.73810908 0.06994435
0.72939957 0.06969498
0.72059454 0.06949510
0.71165853 0.06978967
0.70262661 0.07021752
0.69357341 0.06996509
0.68443788 0.06977122
0.67520611 0.06983591
0.66588151 0.07016118
0.65648101 0.07059510
0.64703533 0.07082800
0.63752839 0.07108598
0.62798065 0.07117719
0.61836916 0.07140695
0.60868765 0.07188969
0.59898242 0.07213881
0.58928466 0.07184096
0.57953911 0.07167142
0.56971636 0.07201035
0.55984641 0.07255817
0.54992010 0.07346363
0.54000718 0.07397298
0.53011847 0.07400634
0.52019385 0.07429557
0.51026096 0.07456874
0.50032463 0.07481479
0.49032504 0.07576223
0.48036916 0.07623199
0.47044183 0.07644159
0.46055165 0.07633682
0.45067582 0.07622296
0.44073733 0.07702463
0.43082032 0.07782372
0.42099367 0.07787634
0.41120688 0.07780390
0.40143985 0.07788011
0.39170251 0.07803501
0.38201972 0.07802751
0.37233925 0.07849820
0.36271174 0.07891118
0.35316981 0.07893608
0.34369515 0.07882472
0.33430866 0.07838068
0.32495285 0.07830343
0.31563415 0.07856133
0.30639993 0.07865401
0.29725791 0.07853436
0.28818909 0.07846057
0.27925626 0.07775501
0.27040472 0.07708361
0.26161133 0.07675058
0.25290796 0.07643088
0.24432284 0.07584071
0.23582329 0.07539234
0.22739337 0.07530616
0.21907127 0.07518316
0.21089203 0.07465969
0.20284441 0.07390103
0.19493326 0.07288802
0.18715002 0.07175423
0.17945489 0.07099003
0.17187591 0.07030933
0.16442339 0.06962850
0.15709599 0.06899631
0.14990579 0.06830744
0.14288710 0.06720208
0.13599128 0.06626806
0.12920348 0.06570662
0.12255948 0.06513885
0.11608082 0.06434846
0.10977646 0.06326210
0.10363017 0.06209394
0.09763615 0.06093821
0.09181973 0.05953251
0.08618446 0.05786281
0.08070444 0.05625095
0.07538199 0.05469567
0.07021952 0.05319371
0.06520302 0.05192887
0.06034876 0.05073801
0.05568544 0.04931513
0.05121830 0.04762151
0.04691549 0.04604214
0.04278035 0.04455853
0.03883822 0.04290012
0.03509159 0.04105645
0.03153238 0.03913753
0.02816317 0.03713040
0.02499939 0.03487442
0.02201747 0.03265416
0.01919280 0.03076542
0.01654586 0.02898720
0.01411025 0.02694764
0.01189957 0.02450298
0.00983118 0.02260919
0.00793078 0.02098242
0.00624316 0.01911929
0.00476162 0.01710487
0.00346868 0.01514634
0.00238332 0.01303328
0.00149736 0.01086488
0.00085405 0.00815119
0.00036840 0.00586835
0.00011854 0.00312578
0.00003243 0.00074954
0.00000000 0.00000000
0.00016200 -0.00073233
0.00065490 -0.00300886
0.00137616 -0.00565788
0.00225316 -0.00785112
0.00336256 -0.01046838
0.00462404 -0.01259502
0.00607349 -0.01464618
0.00770275 -0.01653440
0.00952961 -0.01846952
0.01154102 -0.02030975
0.01372042 -0.02187393
0.01610041 -0.02354414
0.01872267 -0.02580696
0.02151706 -0.02787101
0.02447039 -0.02959704
0.02760826 -0.03129050
0.03095664 -0.03326173
0.03450571 -0.03541248
0.03822191 -0.03737403
0.04210749 -0.03918801
0.04616837 -0.04093856
0.05039785 -0.04256667
0.05478499 -0.04396535
0.05934269 -0.04530124
0.06408983 -0.04681017
0.06900260 -0.04824037
0.07405911 -0.04936274
0.07927266 -0.05035174
0.08466794 -0.05151250
0.09024036 -0.05281619
0.09597666 -0.05413551
0.10188070 -0.05553981
0.10793972 -0.05690891
0.11412413 -0.05793083
0.12044968 -0.05881299
0.12692419 -0.05967271
0.13353569 -0.06040163
0.14026456 -0.06080456
0.14711646 -0.06097621
0.15411663 -0.06123580
0.16129423 -0.06194787
0.16859424 -0.06251508
0.17599724 -0.06274746
0.18352712 -0.06295146
0.19118510 -0.06317437
0.19896244 -0.06335048
0.20687980 -0.06375057
0.21493122 -0.06434194
0.22308055 -0.06474662
0.23131916 -0.06490217
0.23963315 -0.06468643
0.24802262 -0.06413759
0.25651956 -0.06365941
0.26514553 -0.06353638
0.27385998 -0.06334347
0.28264369 -0.06289978
0.29152576 -0.06257741
0.30052627 -0.06264598
0.30955922 -0.06216195
0.31865316 -0.06149245
0.32780660 -0.06066111
0.33700693 -0.05956514
0.34627283 -0.05845957
0.35564934 -0.05790140
0.36506710 -0.05713931
0.37452695 -0.05622532
0.38400753 -0.05495776
0.39350129 -0.05329307
0.40308343 -0.05213443
0.41269894 -0.05089572
