x y
0.96572286 0.07619511
0.96227693 0.07503539
0.95865434 0.07380941
0.95485352 0.07255302
0.95087032 0.07133373
0.94669669 0.07026566
0.94234087 0.06927089
0.93783141 0.06803166
0.93318286 0.06639668
0.92838395 0.06452176
0.92340750 0.06275198
0.91823474 0.06133378
0.91288725 0.06003552
0.90738805 0.05860980
0.90175000 0.05693019
0.89597691 0.05497809
0.89003706 0.05315709
0.88390688 0.05177481
0.87761292 0.05054550
0.87118448 0.04915130
0.86462248 0.04761159
0.85791790 0.04606444
0.85106331 0.04462938
0.84407419 0.04315529
0.83696739 0.04147531
0.82973651 0.03969876
0.82236351 0.03807375
0.81485390 0.03656984
0.80722597 0.03500527
0.79946142 0.03363308
0.79153789 0.03275469
0.78348416 0.03206603
0.77533576 0.03118348
0.76714658 0.02950624
0.75884710 0.02789696
0.75040965 0.02672255
0.74184358 0.02591191
0.73320935 0.02478810
0.72450316 0.02343665
0.71565774 0.02269589
0.70669296 0.02237131
0.69766509 0.02183760
0.68862716 0.02050810
0.67949340 0.01944195
0.67024098 0.01895237
0.66090708 0.01864163
0.65152122 0.01820320
0.64214437 0.01695788
0.63267926 0.01610266
0.62310064 0.01598086
0.61347355 0.01586601
0.60382359 0.01549908
0.59409385 0.01559967
0.58434637 0.01547721
0.57454690 0.01558286
0.56474067 0.01542585
0.55490633 0.01530470
0.54506608 0.01500172
0.53520757 0.01470897
0.52528524 0.01501231
0.51536208 0.01521084
0.50546185 0.01506881
0.49554482 0.01510290
0.48563705 0.01505015
0.47575394 0.01477401
0.46587543 0.01455783
0.45600246 0.01443659
0.44613733 0.01442856
0.43633056 0.01398050
0.42655091 0.01350843
0.41682119 0.01278726
0.40710694 0.01227081
0.39740755 0.01201169
0.38779416 0.01121129
0.37821134 0.01057161
0.36864141 0.01034687
0.35910971 0.01028092
0.34964696 0.01005381
0.34024947 0.00975325
0.33090717 0.00954219
0.32162337 0.00942453
0.31240293 0.00938587
0.30324930 0.00942796
0.29416575 0.00955426
0.28515289 0.00979962
0.27623564 0.00991033
0.26742681 0.00977557
0.25870305 0.00971311
0.25004299 0.01001661
0.24145949 0.01057356
0.23296989 0.01121796
0.22460555 0.01161699
0.21637651 0.01169027
0.20824356 0.01194071
0.20020748 0.01239657
0.19227757 0.01298465
0.18446109 0.01365513
0.17676738 0.01433348
0.16920131 0.01499718
0.16175930 0.01572345
0.15443968 0.01656627
0.14724750 0.01749920
0.14019012 0.01846808
0.13327132 0.01946022
0.12649685 0.02043917
0.11988128 0.02126321
0.11343958 0.02178520
0.10716740 0.02208624
0.10104706 0.02240486
0.09507546 0.02280594
0.08926730 0.02314269
0.08360708 0.02362570
0.07808195 0.02443329
0.07271475 0.02531992
0.06753208 0.02599472
0.06253855 0.02642695
0.05772531 0.02674414
0.05309057 0.02698999
0.04865242 0.02697118
0.04441982 0.02660217
0.04037485 0.02611507
0.03653674 0.02530075
0.03287604 0.02452655
0.02935286 0.02428254
0.02601502 0.02401810
0.02289675 0.02334317
0.01997381 0.02255985
0.01723447 0.02182086
0.01466052 0.02135503
0.01226048 0.02107358
0.01006767 0.02059264
0.00810632 0.01963544
0.00636014 0.01840434
0.00482399 0.01696907
0.00347344 0.01562668
0.00228951 0.01460905
0.00133124 0.01322212
0.00079064 0.00919491
0.00044955 0.00511739
0.00019574 0.00232335
0.00004731 0.00060023
0.00000000 0.00000000
0.00015068 -0.00062516
0.00058158 -0.00225042
0.00127263 -0.00463942
0.00221523 -0.00769233
0.00341048 -0.01142530
0.00479620 -0.01510546
0.00629159 -0.01777988
0.00791402 -0.01966043
0.00975741 -0.02186716
0.01182192 -0.02440960
0.01409079 -0.02709775
0.01655001 -0.02977489
0.01919837 -0.03243698
0.02202017 -0.03490920
0.02501812 -0.03723583
0.02821637 -0.03971596
0.03162624 -0.04249779
0.03524164 -0.04552365
0.03905057 -0.04866683
0.04304438 -0.05184135
0.04720962 -0.05490493
0.05154663 -0.05787964
0.05608529 -0.06113873
0.06083699 -0.06483679
0.06576041 -0.06850455
0.07084445 -0.07203195
0.07609883 -0.07555619
0.08150872 -0.07892457
0.08707115 -0.08212542
0.09279600 -0.08530053
0.09868216 -0.08846188
0.10471869 -0.09150570
0.11089670 -0.09435358
