step,delta_deg,aoa_abs_deg,cl,cd,score,converged
0,-0.0,19.365340656537004,,,,False
1,-0.25,19.115340656537004,,,,False
2,-0.5,18.865340656537004,,,,False
3,-0.75,18.615340656537004,-3.06415,0.03635,-0.6000000000000001,True
4,-1.0,18.365340656537004,,,,False
5,-1.25,18.115340656537004,,,,False
6,-1.5,17.865340656537004,,,,False
7,-1.75,17.615340656537004,,,,False
8,-2.0,17.365340656537004,,,,False
9,-2.25,17.115340656537004,,,,False
10,-2.5,16.865340656537004,,,,False
11,-2.75,16.615340656537004,,,,False
12,-3.0,16.365340656537004,,,,False
13,-3.25,16.115340656537004,-2.94883,0.032995,-0.5336893575189907,True
14,-3.5,15.865340656537004,,,,False
15,-3.75,15.615340656537004,,,,False
16,-4.0,15.365340656537004,,,,False
17,-4.25,15.115340656537004,,,,False
18,-4.5,14.865340656537004,,,,False
19,-4.75,14.615340656537004,-2.87332,0.030921,-0.4929728504919597,True
20,-5.0,14.365340656537004,,,,False
21,-5.25,14.115340656537004,,,,False
22,-5.5,13.865340656537004,,,,False
23,-5.75,13.615340656537004,,,,False
24,-6.0,13.365340656537004,-2.80269,0.030094,-0.4793821128087271,True
25,-6.25,13.115340656537004,,,,False
26,-6.5,12.865340656537004,,,,False
27,-6.75,12.615340656537004,-2.75081,0.029901,-0.4785207771616117,True
28,-7.0,12.365340656537004,,,,False
29,-7.25,12.115340656537004,-2.71985,0.029426,-0.4700876457410331,True
30,-7.5,11.865340656537004,-2.70282,0.029099,-0.46400251136063664,True
31,-7.75,11.615340656537004,,,,False
32,-8.0,11.365340656537004,-2.66883,0.028455,-0.4520477561638689,True
33,-8.25,11.115340656537004,-2.65058,0.028183,-0.44725270627008107,True
34,-8.5,10.865340656537004,,,,False
35,-8.75,10.615340656537004,-2.61617,0.027836,-0.4418618160440455,True
36,-9.0,10.365340656537004,,,,False
37,-9.25,10.115340656537004,,,,False
38,-9.5,9.865340656537004,-2.56933,0.026932,-0.4250236468279248,True
39,-9.75,9.615340656537004,-2.55608,0.026131,-0.4082598762666477,True
40,-10.0,9.365340656537004,,,,False
