step,delta_deg,aoa_abs_deg,cl,cd,score,converged
0,-0.0,19.32818277201789,,,,False
1,-0.25,19.07818277201789,,,,False
2,-0.5,18.82818277201789,,,,False
3,-0.75,18.57818277201789,-2.93532,0.028762,-0.6000000000000001,True
4,-1.0,18.32818277201789,,,,False
5,-1.25,18.07818277201789,,,,False
6,-1.5,17.82818277201789,,,,False
7,-1.75,17.57818277201789,,,,False
8,-2.0,17.32818277201789,,,,False
9,-2.25,17.07818277201789,-2.85159,0.027481,-0.5700746542007109,True
10,-2.5,16.82818277201789,,,,False
11,-2.75,16.57818277201789,,,,False
12,-3.0,16.32818277201789,,,,False
13,-3.25,16.07818277201789,,,,False
14,-3.5,15.82818277201789,,,,False
15,-3.75,15.57818277201789,,,,False
16,-4.0,15.32818277201789,,,,False
17,-4.25,15.07818277201789,,,,False
18,-4.5,14.82818277201789,,,,False
19,-4.75,14.57818277201789,,,,False
20,-5.0,14.32818277201789,,,,False
21,-5.25,14.07818277201789,-2.6655,0.025155,-0.5180575468416067,True
22,-5.5,13.82818277201789,,,,False
23,-5.75,13.57818277201789,,,,False
24,-6.0,13.32818277201789,,,,False
25,-6.25,13.07818277201789,-2.60581,0.024511,-0.5042120416198743,True
26,-6.5,12.82818277201789,,,,False
27,-6.75,12.57818277201789,,,,False
28,-7.0,12.32818277201789,,,,False
29,-7.25,12.07818277201789,-2.54114,0.023933,-0.49254160755419807,True
30,-7.5,11.82818277201789,,,,False
31,-7.75,11.57818277201789,,,,False
32,-8.0,11.32818277201789,-2.4862,0.023586,-0.4866333576900001,True
33,-8.25,11.07818277201789,,,,False
34,-8.5,10.82818277201789,-2.45262,0.023252,-0.47963131808389237,True
35,-8.75,10.57818277201789,,,,False
36,-9.0,10.32818277201789,,,,False
37,-9.25,10.07818277201789,,,,False
38,-9.5,9.82818277201789,,,,False
39,-9.75,9.57818277201789,,,,False
40,-10.0,9.32818277201789,-2.31392,0.022133,-0.45795733550523,True
